

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  113.9200	    27.3900	     3.8670	  2310.2013	     0.0000	  2310.2013	  2680.4600	  2680.4600	  2631.2100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  117.2900	    25.4500	     4.3883	  2438.7113	     0.0000	  2438.7113	  2721.2500	  2721.2500	  2667.0600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  120.6500	    23.5100	     5.0293	  2576.4399	     0.0000	  2576.4399	  2763.2900	  2763.2900	  2703.9400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  124.0100	    21.5700	     5.8295	  2722.8195	     0.0000	  2722.8195	  2806.1800	  2806.1800	  2741.5600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  127.3700	    19.6700	     6.8156	  2871.1485	     0.0000	  2871.1485	  2847.8600	  2847.8600	  2778.1500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  130.7300	    18.2700	     7.7111	  2977.9573	     0.0000	  2977.9573	  2876.8300	  2876.8300	  2803.6400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  134.1000	    17.3900	     8.3387	  3032.1317	     0.0000	  3032.1317	  2891.2500	  2891.2500	  2816.3000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  137.4600	    16.9800	     8.6023	  3033.6848	     0.0000	  3033.6848	  2891.8100	  2891.8100	  2816.6600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  138.8200	    16.9500	     8.5933	  3019.8266	     0.0000	  3019.8266	  2888.2500	  2888.2500	  2813.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  145.5500	    18.8700	     6.7930	  2691.6579	     0.0000	  2691.6579	  2799.4000	  2799.4000	  2733.6800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  152.2700	    21.0500	     5.4669	  2442.1448	     0.0000	  2442.1448	  2726.0900	  2726.0900	  2668.0000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  159.0000	    23.1100	     4.5583	  2245.0698	     0.0000	  2245.0698	  2664.1000	  2664.1000	  2612.4600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  165.7200	    25.0400	     3.9026	  2083.4415	     0.0000	  2083.4415	  2610.2000	  2610.2000	  2564.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  172.4400	    26.8500	     3.4122	  1948.4648	     0.0000	  1948.4648	  2562.8500	  2562.8500	  2521.5400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  179.1700	    28.5400	     3.0351	  1834.4415	     0.0000	  1834.4415	  2521.0400	  2521.0400	  2483.8100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  185.8900	    30.1100	     2.7390	  1737.3530	     0.0000	  1737.3530	  2484.0000	  2484.0000	  2450.2700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  192.6200	    31.5700	     2.5026	  1654.2671	     0.0000	  1654.2671	  2451.1700	  2451.1700	  2420.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  199.3400	    32.9100	     2.3113	  1582.9031	     0.0000	  1582.9031	  2422.0700	  2422.0700	  2393.9000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  206.0700	    34.1500	     2.1549	  1521.4959	     0.0000	  1521.4959	  2396.3200	  2396.3200	  2370.3400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  212.7900	    35.2700	     2.0261	  1468.6556	     0.0000	  1468.6556	  2373.6000	  2373.6000	  2349.4800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  220.5600	    36.4300	     1.9048	  1416.8318	     0.0000	  1416.8318	  2350.7800	  2350.7800	  2328.4800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
